doc_code,t1,t2,t3,t4,c1,c2,c3,c4,title_category,content_category,group,title,content,image,table,appendix,math_exp,attachment,reference,enclosure_image,enclosure,asterisk,appendix_table
C-104-2014,4.,4.3,,,(5),,,,,,,,"풍화가 빠른 암반, 균열이 많은 암반, 바둑판 모양의 균열이 있는 암반 등 붕괴위험이 있는 암반 굴착사면의 경우에는 반드시 이를 고려하여 안전성을 검토하여 안전기울기를 결정해야 한다.",,,,,,,,,,
C-104-2014,4.,4.4,,,,,,,,,,사면안정해석 실시,,,,,,,,,,,
C-104-2014,4.,4.4,,,(1),,,,,,,,"지반조건이 불명확하거나, 급격하게 변화하는 경우 굴착사면의 안전기울기는 별도의 사면안정해석을 통해 여유 있게 결정해야 한다.",,,,,,,,,,
C-104-2014,4.,4.4,,,(2),,,,,,,,"굴착사면 기울기는 지반을 구성하는 지층의 종류, 상태 및 굴착 깊이 등에 따라 설계기준에 제시된 값을 표준으로 하나 붕괴 요인을 가진 굴착부는 별도로 검토하여 종합적으로 판단하여야 한다.",,,,,,,,,,
C-104-2014,4.,4.4,,,(3),,,,,,,,암반 굴착의 경우 지표지질조사 및 시추조사에 의하여 파악된 절리의 방향성과 발달 상태에 따라 안정해석을 실시하여 안전기울기를 결정하여야 한다.,,,,,,,,,,
C-104-2014,4.,4.4,,,(4),,,,,,,,굴착사면의 기울기가 표준기울기와 다른 경우 별도의 안정해석을 통하며 안전기울기를 결정하여야 한다.,,,,,,,,,,
C-104-2014,4.,4.4,,,(5),,,,,,,,"굴착사면이 다음과 같은 조건일 경우에는 지질 및 토질조건, 절리 발달상태, 사면 내의 지하수 유출조건 등에 대하여 지표지질조사 및 정밀조사를 실시하고 그 결과에 따라 사면안정해석을 실시하여 사면 안전기울기를 결정하며, 필요시 안정대책을 검토하여 시공하여야 한다.",,,,,,,,,,
C-104-2014,4.,4.4,,,(5),(가),,,,,,,퇴적층이 두껍게 형성되어 불안정한 상태를 나타내는 구간,,,,,,,,,,
C-104-2014,4.,4.4,,,(5),(나),,,,,,,붕괴 이력이 있고 산사태 발생 가능성이 있는 구간,,,,,,,,,,
C-104-2014,4.,4.4,,,(5),(다),,,,,,,지하수위가 높고 용수가 많은 구간,,,,,,,,,,
C-104-2014,4.,4.4,,,(5),(라),,,,,,,연약지반이 분포하여 침하 등의 우려가 있는 경우,,,,,,,,,,
C-104-2014,4.,4.4,,,(5),(마),,,,,,,시설물이 인접하여 붕괴 시 복구에 상당기간이 소요되거나 막대한 손상을 초래하는 경우,,,,,,,,,,
C-104-2014,4.,4.4,,,(5),(바),,,,,,,기타 불안정한 요인이 있는 것으로 판단되는 구간,,,,,,,,,,
C-104-2014,4.,4.4,,,(6),,,,,,,,안정해석 결과 불안정한 것으로 판단되는 사면에 대하여는 사면기울기 완화 등 적정한 보강공법을 설계에 반영하여야 한다.,,,,,,,,,,
C-104-2014,5.,,,,,,,,,,,토질 및 지반 분류 기준,"토질 및 지반 분류에 대한 기준은 발주기관에 따라 상이하므로, 혼동이 발생하는 경우 암판정위원회의 결정에 따르는 것을 원칙으로 한다.
",,,,,,,,,,
C-104-2014,5.,5.1,,,,,,,,,,국토교통부 건설공사 표준품셈(2014),,,<표 1>,,,,,,,,
C-104-2014,5.,5.2,,,,,,,,,,한국도로공사 도로설계기준 토공편(2009),,,,,,,,,,,
C-104-2014,5.,5.2,,,(1),,,,,,,,"노두조사, 시추조사(코아회수율, RQD, 표준관입시험) 및 시공성을 충분히 검토한 후에 분류한다.",,,,,,,,,,
C-104-2014,5.,5.2,,,(2),,,,,,,,토사와 리핑암은 N치 50타/100 mm를 경계로 구분한다.,,,,,,,,,,
C-104-2014,5.,5.2,,,(3),,,,,,,,"리핑암과 발파암은 암반의 굴착 특성을 결정하는 불연속면의 발달 빈도 (TCR, RQD)와 탄성파 속도를 기준으로 구분한다.",,<표 2>,,,,,,,,
C-104-2014,5.,5.3,,,,,,,,,,한국전력공사 암판정기준(2010),,,,,,,,,,,
C-104-2014,5.,5.3,,,(1),,,,,,,,암반분류가 비교적 명확히 판단될 경우에는 육안 및 현장시험에 의한 암판정 기준을 적용한다.,,,,,,,,,,
C-104-2014,5.,5.3,,,(2),,,,,,,,"간편기준에 의한 암판정은 육안식별, 지질해머 타격, 슈미트 해머의 반발치를 확인하여 전반적인 경향에 따라 암을 분류한다.",,,,,,,,,,
C-104-2014,5.,5.3,,,(3),,,,,,,,간편기준에 의한 암판정을 적용하기 어려운 개소나 상세한 기준을 적용하기 위한 개소는 현장에 적합한 상세기준을 정하고 암반분류를 수행한다.,,,,,,,,,,
C-104-2014,5.,5.3,,,(4),,,,,,,,"상세기준을 적용할 경우에는 국가공인 시험기관(전력연구원 포함)의 시험 결과(탄성파속도, 점하중강도, 일축압축강도시험)를 분석하여 암판정을 시행한다.",,<표 3>,,,,,,,,
C-104-2014,5.,5.4,,,,,,,,,,서울특별시 지반조사편람(2006),,,<표 4>,,,,,,,,
C-104-2014,5.,5.5,,,,,,,,,,한국엔지니어링 진흥협회 지반조사 표준품셈(2004),,,<표 5>,,,,,,,,
C-104-2014,6.,,,,,,,,,,,굴착사면 안전기울기,,,,,,,,,,,
C-104-2014,6.,6.1,,,,,,,,,,안전기울기 기준,,,,,,,,,,,
C-104-2014,6.,6.1,,,(1),,,,,,,,"산업안전보건기준에 관한 규칙 제338조(지반 등의 굴착 시 위험 방지) 제1항에 따라 사업주는 지반 등을 굴착하는 경우에는 굴착사면의 기울기를 다음 표의 기준이상으로 완만한 기울기를 유지하여야 한다. 다만, 사면의 붕괴 방지를 위하여 적절한 조치를 한 경우에는 관계전문가 자문 및 안정성검토를 득한 후 변경할 수 있다.",<그림 1>,<표 6>,,,,,,,,
C-104-2014,6.,6.1,,,(2),,,,,,,,"굴착깊이, 굴착난이도 및 암반 강도 등에 따라 사면기울기와 소단을 다르게 적용하며, 용수발생 시 소단에 유도 배수로를 설치하여야 한다.",,,,,,,,,,
C-104-2014,6.,6.1,,,(3),,,,,,,,굴착사면의 기울기가 달라서 기울기를 계산하기가 곤란한 경우에는 해당 굴착사면에 대하여 붕괴의 위험이 증가하지 않도록 해당 각 부분의 기울기를 유지하여야 한다.,,,,,,,,,,
C-104-2014,6.,6.1,,,(4),,,,,,,,"상기 (1), (2) 및 (3) 항은 일반적인 사항이므로 현장여건 및 보강계획 등을 고려하여 현장 지반에 적합한 사면기울기를 적용하여야 한다.",,,,,,,,,,
C-104-2014,6.,6.2,,,,,,,,,,안전기울기 준수를 위한 유의사항,,,,,,,,,,,
C-104-2014,6.,6.2,,,(1),,,,,,,,"준설사면은 토질조건, 준설방법 등에 따라 준설공사 후 사면이 안정적으로 유지하기 위하여 준설 시 안전기울기를 규정할 필요가 있으며, 대단위 사면 형성구역에 대해서는 원호활동 검토 등을 수행하여 안전기울기를 결정하여야 한다.",,,,,,,,,,
C-104-2014,6.,6.2,,,(2),,,,,,,,"연암 이상 암반 굴착사면의 기울기는 암반 내에 발달하는 단층 및 주요 불 연속면의 기울기 및 방향을 고려하여 발생 가능한 파괴형태에 대한 안정해석을 실시하여 사면의 안전기울기를 결정하여야 한다. 다만, 해당 구간 불 연속면 등의 암반특성을 정확히 파악할 수 없을 경우 시추조사에 의해 파악된 암반특성을 고려하여 암반 굴착사면의 안전기울기를 결정할 수 있으나 반드시 시공 중 조사 및 이를 반영한 안정해석을 통해 안정성을 확인하여야 한다.",,,,,,,,,,
C-104-2014,6.,6.2,,,(3),,,,,,,,각기 다른 토질이 분포하여 상이한 소단 및 기울기로 접속되는 구간에는 연결을 위한 완화구간(접합부 중심 기준 좌우 약 5m)을 둔다.,,,,,,,,,,
C-104-2014,6.,6.2,,,(4),,,,,,,,사면 보호를 위한 배수시설 및 사면보호시설 등은 별도 검토하여 반영해야 하며 시설물의 설치 여건에 따라 사면의 기울기를 조정할 수 있다.,,,,,,,,,,
