,id,title,sentence,title_sentence
10,AC-B-00010,데크플레이트 설치 작업 중 추락,"2021. 8. 31.(화) 08:50분경 경남 밀양시 소재 공장 신축공사 현장에서 재해자가 지상 2층 철골보
상부에서 작업 중 데크플레이트가 이탈되면서 몸의 중심을 잃고 1층 콘크리트 바닥으로 떨
어져(h≒6.9m) 사망한 재해임","데크플레이트 설치 작업 중 추락,2021. 8. 31.(화) 08:50분경 경남 밀양시 소재 공장 신축공사 현장에서 재해자가 지상 2층 철골보
상부에서 작업 중 데크플레이트가 이탈되면서 몸의 중심을 잃고 1층 콘크리트 바닥으로 떨
어져(h≒6.9m) 사망한 재해임"
11,AC-B-00011,갱폼 상부에 적재된 철근 낙하,"2021년 7월 22일(목) 11:37경 경기도 양주시 소재 아파트 신축공사 현장에서 갱폼 작업발판
위에 적재되어 있던 철근(길이 약 2m / 무게 약 1.9kg) 한 가닥이 높이 약 62m 아래 지상
으로 낙하하여, 하부에서 이동 중이던 작업자의 머리로 떨어져 작업자가 사망","갱폼 상부에 적재된 철근 낙하,2021년 7월 22일(목) 11:37경 경기도 양주시 소재 아파트 신축공사 현장에서 갱폼 작업발판
위에 적재되어 있던 철근(길이 약 2m / 무게 약 1.9kg) 한 가닥이 높이 약 62m 아래 지상
으로 낙하하여, 하부에서 이동 중이던 작업자의 머리로 떨어져 작업자가 사망"
12,AC-B-00012,유리 설치작업 중 차량탑재형 고소작업대 전도,"2021. 7. 6.(화) 9:54경 인천광역시 계양구 서운동 소재 공장 신축공사 현장에서 차량 탑재형 고
소작업대를 사용하여 창호 유리 설치작업 중 고소작업대가 기울면서 전도되어 작업대에 탑승
하여 작업 중이던 재해자 2명이 약13m 아래로 떨어져 1명 사망, 1명 부상","유리 설치작업 중 차량탑재형 고소작업대 전도,2021. 7. 6.(화) 9:54경 인천광역시 계양구 서운동 소재 공장 신축공사 현장에서 차량 탑재형 고
소작업대를 사용하여 창호 유리 설치작업 중 고소작업대가 기울면서 전도되어 작업대에 탑승
하여 작업 중이던 재해자 2명이 약13m 아래로 떨어져 1명 사망, 1명 부상"
13,AC-B-00013,외벽 도장작업 중 고소작업대에서 추락,"2021년 6월 7일(월) 14시 30분경 서울시 강동구 소재 아파트 외벽도장 공사현장에서
건물 4층 높이(11M)의 차량 탑재형 고소작업대(스카이)를 이용한 외부 도장작업 중 고소
작업대를 이동시키는 과정에서 재해자가 지상으로 추락하여 사망","외벽 도장작업 중 고소작업대에서 추락,2021년 6월 7일(월) 14시 30분경 서울시 강동구 소재 아파트 외벽도장 공사현장에서
건물 4층 높이(11M)의 차량 탑재형 고소작업대(스카이)를 이용한 외부 도장작업 중 고소
작업대를 이동시키는 과정에서 재해자가 지상으로 추락하여 사망"
14,AC-B-00014,지반개량을 위한 굴착작업 중 담장 붕괴,"2021. 06. 16.(수) 10:20경 경기 광명시 소재 오피스텔 신축공사 현장에서 재해자가
담장 하부 터파기 굴착면에서 지반개량 시설물 설치를 위한 골재 고르기 작업 중 굴착사면 및
상부 담장이 붕괴되면서 깔려 사망","지반개량을 위한 굴착작업 중 담장 붕괴,2021. 06. 16.(수) 10:20경 경기 광명시 소재 오피스텔 신축공사 현장에서 재해자가
담장 하부 터파기 굴착면에서 지반개량 시설물 설치를 위한 골재 고르기 작업 중 굴착사면 및
상부 담장이 붕괴되면서 깔려 사망"
15,AC-B-00015,노후 상수도관 갱생작업 중 수몰사고 발생,"2021.06.28.(월) 14:00경 전라북도 전주시 완산구 소재 노후 상수관 갱생공사 현장에서 작
업자 2명이 작업구를 통해 기존 노후 상수도관 내부로 들어가서 갱생작업* 중 갑작스러운 집
중호우로 인해 관로 안으로 물이 차오르자 외부로 대피 중 1명이 빠져나오지 못하고 사망한
재해임.","노후 상수도관 갱생작업 중 수몰사고 발생,2021.06.28.(월) 14:00경 전라북도 전주시 완산구 소재 노후 상수관 갱생공사 현장에서 작
업자 2명이 작업구를 통해 기존 노후 상수도관 내부로 들어가서 갱생작업* 중 갑작스러운 집
중호우로 인해 관로 안으로 물이 차오르자 외부로 대피 중 1명이 빠져나오지 못하고 사망한
재해임."
16,AC-B-00016,우수관로 공사 중 사면 및 옹벽붕괴,"2021년 6월 1일(화) 13:40 경, 충청남도 논산시 소재 농장 개축공사 현장에서 기 설치 된
보강토 옹벽 하부 우수관로 공사를 위한 터파기 후, 굴착저면에서 우수배관 연결작업을
하던 재해자가 굴착사면 및 보강토 옹벽이 붕괴되면서 매몰되어 사망","우수관로 공사 중 사면 및 옹벽붕괴,2021년 6월 1일(화) 13:40 경, 충청남도 논산시 소재 농장 개축공사 현장에서 기 설치 된
보강토 옹벽 하부 우수관로 공사를 위한 터파기 후, 굴착저면에서 우수배관 연결작업을
하던 재해자가 굴착사면 및 보강토 옹벽이 붕괴되면서 매몰되어 사망"
17,AC-B-00017,충전 전로 접촉에 의한 감전,"2020.10.10. 0000 조경공사 현장에서 이동식크레인을 사용하여 조경수를 이식하는 작업 중
크레인의 지브(붐) 끝부분이 인접한 충전전로(22.9kV)에 접촉되어 크레인의 훅을 잡고
있던 재해자가 감전되어 사망한 재해임","충전 전로 접촉에 의한 감전,2020.10.10. 0000 조경공사 현장에서 이동식크레인을 사용하여 조경수를 이식하는 작업 중
크레인의 지브(붐) 끝부분이 인접한 충전전로(22.9kV)에 접촉되어 크레인의 훅을 잡고
있던 재해자가 감전되어 사망한 재해임"
18,AC-B-00018,지붕 마감재 패널 해체작업 중 추락,"2021년 5월 8일(토) 10:30경 경기도 하남시 신장동 소재 모델하우스 철거공사에 현장에서 전시 기
간이 끝난 모델하우스의 지붕재 패널을 해체하기 위해 지상 약 9.8m 높이인 철골 지붕에서 작업 중
추락하여 사망","지붕 마감재 패널 해체작업 중 추락,2021년 5월 8일(토) 10:30경 경기도 하남시 신장동 소재 모델하우스 철거공사에 현장에서 전시 기
간이 끝난 모델하우스의 지붕재 패널을 해체하기 위해 지상 약 9.8m 높이인 철골 지붕에서 작업 중
추락하여 사망"
19,AC-B-00019,고소작업대를 벗어나 이동 중 추락,"21. 5. 3.(월) 15:20경 경기도 화성시 소재 OO공장 증축공사 현장에서 재해자가 지붕철골 부재 조립을
위해 고소작업대에서 벗어나 테두리 빔(Girder)을 따라 이동 중 약 5.5m 아래 바닥으로 떨어져 사망","고소작업대를 벗어나 이동 중 추락,21. 5. 3.(월) 15:20경 경기도 화성시 소재 OO공장 증축공사 현장에서 재해자가 지붕철골 부재 조립을
위해 고소작업대에서 벗어나 테두리 빔(Girder)을 따라 이동 중 약 5.5m 아래 바닥으로 떨어져 사망"
20,AC-B-00020,달비계 작업 중 로프가 풀려 추락,"2021.04.09.(금) 08:17분경 전라남도 나주시 소재 OO아파트 하자보수공사 현장에서 재해자가 달
비계 작업대에 탑승하여 아파트 외부 창호 방수(실리콘 코킹) 작업 중 달비계 작업용 로프
의 매듭이 풀려 떨어져(H≒60m) 사망","달비계 작업 중 로프가 풀려 추락,2021.04.09.(금) 08:17분경 전라남도 나주시 소재 OO아파트 하자보수공사 현장에서 재해자가 달
비계 작업대에 탑승하여 아파트 외부 창호 방수(실리콘 코킹) 작업 중 달비계 작업용 로프
의 매듭이 풀려 떨어져(H≒60m) 사망"
21,AC-B-00021,지붕 선라이트 해체작업 중 추락,"2021.04.07.( 수) 숙영시설 철거공사 현장에서 재해자가 건물 지붕 위에서 선라이트
(Sunlight, 폴리카보네이트 재질의 지붕재)를 철거하던 중, 지면으로 떨어져(H≒3.9m) 사망","지붕 선라이트 해체작업 중 추락,2021.04.07.( 수) 숙영시설 철거공사 현장에서 재해자가 건물 지붕 위에서 선라이트
(Sunlight, 폴리카보네이트 재질의 지붕재)를 철거하던 중, 지면으로 떨어져(H≒3.9m) 사망"
22,AC-B-00022,지게차 H빔 자재 하역작업 중 H빔 낙하,"2021년 2월 27일(토) 07:38경 과천시 갈현동 소재 아파트 건설공사 현장의 가설울타리 설치를
위해 반입된 H-Beam자재를 지게차를 사용하여 화물차로부터 하역하던 중 화물차에 적재되어
있던 H-Beam이 낙하하면서 작업자 2명이 깔려 1명이 사망하고 1명이 부상함","지게차 H빔 자재 하역작업 중 H빔 낙하,2021년 2월 27일(토) 07:38경 과천시 갈현동 소재 아파트 건설공사 현장의 가설울타리 설치를
위해 반입된 H-Beam자재를 지게차를 사용하여 화물차로부터 하역하던 중 화물차에 적재되어
있던 H-Beam이 낙하하면서 작업자 2명이 깔려 1명이 사망하고 1명이 부상함"
23,AC-B-00023,축사 지붕재 교체작업 중 선라이트 파손,"2021.3.10.(수) 13:23분경 경북 영천시 소재 축사 지붕재(칼라강판, 선라이트) 교체공사 현장에
서 재해자가 칼라강판 이동에 사용되는 작업도구와 로프를 정리하는 작업 중 선라이트가 파손*
되면서 약 6.4m 아래로 떨어져 사망함","축사 지붕재 교체작업 중 선라이트 파손,2021.3.10.(수) 13:23분경 경북 영천시 소재 축사 지붕재(칼라강판, 선라이트) 교체공사 현장에
서 재해자가 칼라강판 이동에 사용되는 작업도구와 로프를 정리하는 작업 중 선라이트가 파손*
되면서 약 6.4m 아래로 떨어져 사망함"
24,AC-B-00024,승강기 교체작업 중 작업대와 함께 추락,"2021. 01. 04(월) 13:45경 경기도 용인시 처인구 포곡읍 소재 승강기 교체공사 현장에서 엘리베
이터의 승강로 내부에서 임시카*를 타고 도어행거 철거 작업을 하던 중 임시카를 매달고 있던 줄
걸이 로프(슬링벨트)가 파단되면서 약 5미터 아래 PIT바닥으로 추락하여 사망한 재해임.","승강기 교체작업 중 작업대와 함께 추락,2021. 01. 04(월) 13:45경 경기도 용인시 처인구 포곡읍 소재 승강기 교체공사 현장에서 엘리베
이터의 승강로 내부에서 임시카*를 타고 도어행거 철거 작업을 하던 중 임시카를 매달고 있던 줄
걸이 로프(슬링벨트)가 파단되면서 약 5미터 아래 PIT바닥으로 추락하여 사망한 재해임."
25,AC-B-00025,PHC파일 인양 중 와이어 로프 이탈로 전도,"2021년 1월 20일 10:31경 경기도 과천시 소재 지식정보타운 공동주택 신축공사 현장에서
PHC파일(D600mm) 이동 중 와이어로프 줄걸이(둘러매기)가 빠지면서 이탈하여 인근에서
작업 중이던 타 공종 작업자가 전도된 파일에 깔려 사망한 재해임.
* PHC Pile(Pretentioned spun High strength Concreate pile)은 원심력을","PHC파일 인양 중 와이어 로프 이탈로 전도,2021년 1월 20일 10:31경 경기도 과천시 소재 지식정보타운 공동주택 신축공사 현장에서
PHC파일(D600mm) 이동 중 와이어로프 줄걸이(둘러매기)가 빠지면서 이탈하여 인근에서
작업 중이던 타 공종 작업자가 전도된 파일에 깔려 사망한 재해임.
* PHC Pile(Pretentioned spun High strength Concreate pile)은 원심력을"
26,AC-B-00026,최근 건설현장 붕괴사고 사례,"최근「평택 PC구조물 붕괴」, 「안산 흙막이 지보공 붕괴」 및 「시흥 거푸집 붕괴」등
건설현장에서 붕괴사고가 연이어 발생하고 있고, 특히 해빙기 등 취약시기에 붕괴사
고가 집중될 우려가 높은 실정임","최근 건설현장 붕괴사고 사례,최근「평택 PC구조물 붕괴」, 「안산 흙막이 지보공 붕괴」 및 「시흥 거푸집 붕괴」등
건설현장에서 붕괴사고가 연이어 발생하고 있고, 특히 해빙기 등 취약시기에 붕괴사
고가 집중될 우려가 높은 실정임"
27,AC-B-00027,PC(Precast Concrete)보 전도 및 탈락으로 인한 추락사고 발생,"2020.12.20.(일) 경기도 평택시 소재 물류창고 신축공사 현장에서 6층 램프 바닥 슬래브
철근 조립작업 중 PC거더가 전도되면서 PC빔과 함께 데크 플레이트가 탈락, 작업자 5명이
추락하여 3명이 사망하고 2명 부상","PC(Precast Concrete)보 전도 및 탈락으로 인한 추락사고 발생,2020.12.20.(일) 경기도 평택시 소재 물류창고 신축공사 현장에서 6층 램프 바닥 슬래브
철근 조립작업 중 PC거더가 전도되면서 PC빔과 함께 데크 플레이트가 탈락, 작업자 5명이
추락하여 3명이 사망하고 2명 부상"
28,AC-B-00028,크롤러 크레인 붐 연장작업 중 깔림사례2,"‘20.6.10.(수) 충남 아산시 「고속국도 제OO호선 건설공사」 현장에서 크롤러 크레인 붐
연장을 위해 붐 하부에서 연결핀을 제거하던 중 붐이 하강하면서 근로자가 깔려 사망","크롤러 크레인 붐 연장작업 중 깔림사례2,‘20.6.10.(수) 충남 아산시 「고속국도 제OO호선 건설공사」 현장에서 크롤러 크레인 붐
연장을 위해 붐 하부에서 연결핀을 제거하던 중 붐이 하강하면서 근로자가 깔려 사망"
29,AC-B-00029,크롤러 크레인 붐 연장작업 중 깔림사례1,"‘20.10.30.(금) 경기 용인시 「고속국도 제OO호선 건설공사」 현장에서 크롤러 크레인 붐
연장을 위해 붐 하부 연결핀을 제거하는 순간 연결부가 꺾이면서 근로자 2명 사망","크롤러 크레인 붐 연장작업 중 깔림사례1,‘20.10.30.(금) 경기 용인시 「고속국도 제OO호선 건설공사」 현장에서 크롤러 크레인 붐
연장을 위해 붐 하부 연결핀을 제거하는 순간 연결부가 꺾이면서 근로자 2명 사망"
30,AC-B-00030,관로 터파기 작업 중 굴착사면 붕괴,"2020.10.13.(화) 10:10분 경 대구광역시 달성군 소재 오수관로 설치공사 현장에서 오수관로 설치를
하기 위해 지장물인 우수암거 하부의 터파기 바닥면 고르기 작업 중 좌측 사면의 토사가
붕괴되면서 근로자가 매몰되어 사망한 재해임.","관로 터파기 작업 중 굴착사면 붕괴,2020.10.13.(화) 10:10분 경 대구광역시 달성군 소재 오수관로 설치공사 현장에서 오수관로 설치를
하기 위해 지장물인 우수암거 하부의 터파기 바닥면 고르기 작업 중 좌측 사면의 토사가
붕괴되면서 근로자가 매몰되어 사망한 재해임."
31,AC-B-00031,아파트 외벽에서 달비계를 타고 도장 작업중 추락,"2020. 8.23(일) 13:30분경 대구 달서구 소재 아파트 균열보수 및 재도장 공사 현장
에서 달비계 작업대에서 작업 중 옥상외부에 설치되어 있던 장식용 구조물 일부가
탈락 파손되면서 아래로 낙하하여 재해자를 타격(추정), 재해자가 약 54m 아래 지면으
로 추락하여 사망한 재해임.","아파트 외벽에서 달비계를 타고 도장 작업중 추락,2020. 8.23(일) 13:30분경 대구 달서구 소재 아파트 균열보수 및 재도장 공사 현장
에서 달비계 작업대에서 작업 중 옥상외부에 설치되어 있던 장식용 구조물 일부가
탈락 파손되면서 아래로 낙하하여 재해자를 타격(추정), 재해자가 약 54m 아래 지면으
로 추락하여 사망한 재해임."
32,AC-B-00032,흙막이 가시설 부재 설치작업 중 띠장 낙하,2020.07.27.(월) 08:55경 서울시 서초구 서초동 소재 업무시설 신축공사 현장에서 흙막이 가시설 두 번째 단의 우각부 스트러트 밀림방지 부재 설치 작업 중 재해자 작업구간 상부에서 설치 중이던 띠장*이 하부로 떨어지면서(H≒40cm) 재해자 두부를 강타하여 사망한 재해임,"흙막이 가시설 부재 설치작업 중 띠장 낙하,2020.07.27.(월) 08:55경 서울시 서초구 서초동 소재 업무시설 신축공사 현장에서 흙막이 가시설 두 번째 단의 우각부 스트러트 밀림방지 부재 설치 작업 중 재해자 작업구간 상부에서 설치 중이던 띠장*이 하부로 떨어지면서(H≒40cm) 재해자 두부를 강타하여 사망한 재해임"
33,AC-B-00033,조적벽체 해체 작업 중 벽체 전도,"2020.07.30.(목) 16:54분경 대구광역시 동구 신천동 소재 호텔 신축현장 지하 1층에서 직영 근로자인 재해자(남, 63세, 보통인부)가 이동식비계 위에서 동료작업자와 조적벽체 해체작업 중 벽체 일부가 이동식비계 상부에서 작업 중인 재해자 방향으로 넘어지며 재해가 발생, 병원으로 이송？치료 중 사망한 재해임.","조적벽체 해체 작업 중 벽체 전도,2020.07.30.(목) 16:54분경 대구광역시 동구 신천동 소재 호텔 신축현장 지하 1층에서 직영 근로자인 재해자(남, 63세, 보통인부)가 이동식비계 위에서 동료작업자와 조적벽체 해체작업 중 벽체 일부가 이동식비계 상부에서 작업 중인 재해자 방향으로 넘어지며 재해가 발생, 병원으로 이송？치료 중 사망한 재해임."
34,AC-B-00034,갱폼 위에서 작업 중 갱폼과 함께 추락,"2020.06.12.(금) 10:15경 세종시 소재 공공주택 건설사업 현장에서 재해자가 갱폼 최상부 작업
발판 위에서 작업 중 갱폼이 외벽에서 탈락하여 갱폼과 함께 아래로 추락(h=30m)하여 사망","갱폼 위에서 작업 중 갱폼과 함께 추락,2020.06.12.(금) 10:15경 세종시 소재 공공주택 건설사업 현장에서 재해자가 갱폼 최상부 작업
발판 위에서 작업 중 갱폼이 외벽에서 탈락하여 갱폼과 함께 아래로 추락(h=30m)하여 사망"
35,AC-B-00035,지붕 보수공사 중 지붕재 파손으로 추락,"2020.03.26.(금) 13:00시경 대구광역시 동구 도동 소재 지붕보수공사 현장에서 재해자가 슬레
이트 지붕 위에서 칼라강판 정리 중 재해자가 서있던 슬레이트 지붕 일부가 파손되며 약 7.5
미터 아래 바닥으로 추락","지붕 보수공사 중 지붕재 파손으로 추락,2020.03.26.(금) 13:00시경 대구광역시 동구 도동 소재 지붕보수공사 현장에서 재해자가 슬레
이트 지붕 위에서 칼라강판 정리 중 재해자가 서있던 슬레이트 지붕 일부가 파손되며 약 7.5
미터 아래 바닥으로 추락"
36,AC-B-00036,후진 이동 중이던 굴삭기와 충돌·협착,"2020. 3. 7.(토) 16:30경 경기도 평택시 현덕면 소재 토목조경공사 현장에서 재해자가 소
나무 등 식재목 7주를 임시 이식장으로 운반하여 식재하는 작업을 완료하고 이동하던 중
진입로 바닥 정지작업을 위해 후진하는 굴삭기(0.6㎥) 바퀴에 깔려 사망한 재해임.","후진 이동 중이던 굴삭기와 충돌·협착,2020. 3. 7.(토) 16:30경 경기도 평택시 현덕면 소재 토목조경공사 현장에서 재해자가 소
나무 등 식재목 7주를 임시 이식장으로 운반하여 식재하는 작업을 완료하고 이동하던 중
진입로 바닥 정지작업을 위해 후진하는 굴삭기(0.6㎥) 바퀴에 깔려 사망한 재해임."
37,AC-B-00037,수목이식 공사 중 쓰러진 나무에 협착,"2020.02.22.(토) 강원도 원주시 지정면 소재 수목이식공사 현장에서 재해자가 수목이식공사를
위해 느티나무 분 포장작업 중 돌풍에 의해 쓰러진 느티나무에 깔려 병원으로 후송하였으나
사망한 재해임.","수목이식 공사 중 쓰러진 나무에 협착,2020.02.22.(토) 강원도 원주시 지정면 소재 수목이식공사 현장에서 재해자가 수목이식공사를
위해 느티나무 분 포장작업 중 돌풍에 의해 쓰러진 느티나무에 깔려 병원으로 후송하였으나
사망한 재해임."
38,AC-B-00038,기계식 주차설비 공사 중 균형추와 철골부재 사이에 끼임,"2020. 2. 24(월) 10:40경 포항시 OO시설 신축공사 중 기계식 주차설비공사 현장에서 판넬설치
공사 협력업체 소속 재해자가 기계식주차장 내부에서 용접불티 비산에 따른 소화작업 중 하강
하는 균형추와 철골부재 사이에 끼여 사망한 재해임","기계식 주차설비 공사 중 균형추와 철골부재 사이에 끼임,2020. 2. 24(월) 10:40경 포항시 OO시설 신축공사 중 기계식 주차설비공사 현장에서 판넬설치
공사 협력업체 소속 재해자가 기계식주차장 내부에서 용접불티 비산에 따른 소화작업 중 하강
하는 균형추와 철골부재 사이에 끼여 사망한 재해임"
39,AC-B-00039,도시가스 공급관 설치 작업 중 굴착사면 붕괴,도시가스 공급관 설치작업 중 터파기 토사 일부가 붕괴되어 매몰 ,"도시가스 공급관 설치 작업 중 굴착사면 붕괴,도시가스 공급관 설치작업 중 터파기 토사 일부가 붕괴되어 매몰 "
40,AC-B-00040,골조공사 중 벽체 거푸집이 전도되어 협착,2020.1.15.(수) 07:50경 제주시 소재 공동주택 신축공사 현장에서 지상 11층 측면부 비계를 설치하기 위해 바닥 정리작업 중 작업구간에 설치되어 있던 벽체 거푸집(약 2.4TON)이 전도되면서 전도된 거푸집과 적재되어 있던 자재에 피재자가 협착되어 사망한 재해임.,"골조공사 중 벽체 거푸집이 전도되어 협착,2020.1.15.(수) 07:50경 제주시 소재 공동주택 신축공사 현장에서 지상 11층 측면부 비계를 설치하기 위해 바닥 정리작업 중 작업구간에 설치되어 있던 벽체 거푸집(약 2.4TON)이 전도되면서 전도된 거푸집과 적재되어 있던 자재에 피재자가 협착되어 사망한 재해임."
41,AC-B-00041,용접작업중 배관 내부에 들어가 질식(산소결핍),"2019.10.04.(금) 18:00분경 0000화력발전 건설현장에서 하도급업체 근로자가 아르곤 가스(용접실드가스)가 차있던 Drip Pot 배관(직경 84cm, 깊이 2m) 퍼징댐을 확인하기 위해 들어갔다가 산소결핍에 의한 질식으로 사망","용접작업중 배관 내부에 들어가 질식(산소결핍),2019.10.04.(금) 18:00분경 0000화력발전 건설현장에서 하도급업체 근로자가 아르곤 가스(용접실드가스)가 차있던 Drip Pot 배관(직경 84cm, 깊이 2m) 퍼징댐을 확인하기 위해 들어갔다가 산소결핍에 의한 질식으로 사망"
