,객체소분류,부위위치
10,건물,"['고소' '바닥' '지상1층' '천장' '상부(위)' '2층 홈베이스 복도 천장 퍼티' '계단' '4904호 세대내' '지하'
 '지붕' '하부(아래)' '3층엘리베이터 샤프트에서 레일 설치 작업' '옆' '지중보' '1층 외부 비계'
 '4층 엘리베이터 통로 내' '공동주택 14층' '환기구 내부' '덕트' '계단 거푸집 설치' '내부계단' '지붕층/추락'
 '116동 피로티 E/V실에서 외부벽체 구조물 창문' '2~3층 중정계단' '지하 1층 램프구간' '수중' 'X19, Y4~5'
 '3층 램프구간' '앞' '옥상 계단' '3층' '계단실' '바닥에서 1.5m 지점' '골조 컨테이너 사무실' '102동 계단참'
 '대창교 슬래브' '전면 현관 캐노피 상부' '단열재작업' '내부 벽' '옥상으로 올라가는 사다리' '내부 벽체' '케노피'
 '엘리베이터 피트' '지붕 판넬 추락' '지하2층 피트' nan '계단실 내부' '비계발판 위' '창호 문틀 걸려 넘어짐']"
11,건설폐기물,"['앞' '지하' '바닥' '옆' '폐자재(pe맨홀)' '차량 적재함' '상부(위)' '하부(아래)' '청소후 폐기물 처리과정'
 '폐기물 압롤박스 상부에서 폐기물 정리' '정문 세륜기' '고소' '좌수 수지' '우측 제3수지 신부열상']"
12,경사면,['옆' '바닥' '하부(아래)' '성토사면' '상부(위)' '인도의 경계석' nan]
13,고소작업차(고소작업대 등),"['고소' '하부(아래)' '지하' '옆' '상부(위)' '조경목' '하차 도중 전도' '앞' '마감바닥' '고소작업차 내부'
 '바닥' '고소작업대 난간대' '뒤' '탑승구 난간대' '1층 바닥 (P22열)' '승하차 구간' nan]"
14,공구류,"['상부(위)' '앞' '바닥' '지하' '고소' '날' '망치' '뒤' '하부(아래)' '구조틀 상부' '옆' '타카총'
 '스킬(전동톱) 핸드용 그라인더' '합판 절단' '현장 부지 내' '본관동 3층 화장실' '핸드절단기 날' '드릴기계 작업중'
 '거푸집 상재' '전동드릴 컵홀더' '손가락' '손가락 골절' '자재야적장' '고무망치' '지하2층 벽체거푸집' '작업용 엔진톱'
 '철근 절곡기' '옥상' '철근 절곡리' '스크류 연결핀 구멍' '지상' '목재용 커팅기' '현장 내 스펀지풀 작업장 인근'
 '근로자 왼쪽 손목' '목공용 드릴' '아파트 슬라브 위' '인접 바닥' '절단기' '철근절곡기' '인근' '그라인더 날'
 '원형톱' '새끼손가락 중간마디 타격' '둥근톱' '양수기' '전동드릴' '오른쪽 정강이' '형틀작업장' '못' '팔목'
 '411호 욕실' '벽' '사다리' '108동 2층 3호세대 내부' '그라인더' '고소작업 (핸드드릴작업)' '벽체' '손수레'
 '그라인더 작업' '가공밴딩기에 협착' '우수받이 작업' '헤라' '자재' '그라인더 면' '곤돌라 2호기 내' '드릴'
 '텀버클 전면부' '철근 밴딩기' '방호벽' '유로폼 조립 작업' '비계 위' '옹벽 옆' '전동그라인더' '스킬 톱' '작업대'
 '기타' '오른쪽 무릎 위' '목재 커팅기 주위' '절곡기' '흙손' '핸드그라인더' '세대 방수턱' '알미늄창호' '산소병 낙하'
 '절단기(그라인더)' '작업발판 위' '오른쪽 손목 부위' '스킬' '철근밴딩기' '컷팅기 내부' '그라인딩 작업' '핸드커팅기'
 '회전몸체' '핸드그라인더(7인치)' '그라인더 날 접촉' '믹서기 옆' '콤프레샤 덮개용 합판' '현장컨테이너' '평지작업'
 '공구실 내부' '낫' '비계발판 상부' '실내' '빠루' '쇠지랫대' '손바닥' '철근가공'
 '망치타격중 이물질 비례하여 안구타격' '왼손 검지 인대 손상' '내부' '손' '검지손가락' '옥외' '105동 지하1층 계단실'
 '연결호스' '해체' '철근가공기(밴딩)롤러' '밀대' '탁상드릴머신' '드릴비트' '단부' '블럭절단기' '날 절상' '톱날'
 '지상층' '공구 돌아가면서 손가락 꺽임' '지렛대(데코)' '가공용 공구' '핸드그라인더 날' '계단실'
 '핸드그라인드 4인치 톱날' '믹서기' nan '전동드릴에 장착한 홀 컷터 날' '배관제작용 Grooving 기계' '외부 버팀목'
 '보도부' '절단공구' '해머드릴' '휘니샤' '지렛대' '핸드스킬' '절단작업' '액상산소통 협착'
 '그라인더 날에 왼쪽 허벅지 부상' '전동드라이버']"
15,공기압축기,['바닥' nan]
16,교각 기초,['바닥' '상부(위)']
17,교대 기초,[nan]
18,교량 바닥판,['바닥' nan]
19,굴착기,"['하부(아래)' '바닥' '운전실 내부' '옆' '상부(위)' '뒤' '고소' '지하' '앞' '버킷' '내부' '굴삭기 앞'
 '굴삭기 후크에 로프를 걸다가 왼손 엄정손가락 끝부분이 끼어서 골절' '버켓의 좌측면' '굴착기에 의한 자재 전도'
 '손가락(좌측 제1수지)' '터파기 및 잔토반출' '버켓과 충돌' '아파트 옆' '버켓과 부딪힘' '타이어' '굴삭기 링크가 가격'
 '전도' '굴삭기 내부' '백호의 버킷' '바퀴' '굴삭기 타이어' '터파기 단부' '굴삭기 버켓' '인양고리' '굴착기 트랙'
 '찝게' '버켓' '문' '굴삭기내부' '버킷 탈락' '지상1층 벽체철거' '집게 미끄러짐' '버킷 고리' nan '집게(암)'
 '고리' '해상 전도']"
20,굴착사면,"['하부(아래)' '옆' '바닥' '상부(위)' '굴착 법면 전기맨홀' '2m이내 PIT' '지하' '터파기 지반'
 '공장용지내 진출입로 부분' nan]"
21,기성말뚝,['하부(아래)' nan '상부(위)' '옆']
22,기중기(이동식크레인 등),"['뒤' '상부(위)' '훅크에 부딪힘' '바닥' '지상' '하차하는 부분(계단)' '붐' '쓰러짐' '하부(아래)' '이상없음'
 '옆' '앞' '작업용 버켓' '본체와 인양물' '기중기 붐' '적재함 위' '내부' '카고크레인 적재함' '자재양중이동중'
 '크레인 붐대' '운전석 탑승 전 리프트' '궤도 주변' '자재를 옮기던 도중 다리를 다침' '본체 전체 전도' nan '고소'
 '장비위' '어깨']"
23,기타,"['지하' '바닥' '2층 화장실 바닥' '차량이동로' '지상' '상부(위)' '5층 내부' '하부(아래)' '앞' '고소'
 '104동 5층 주방' '계단실' '104동 36층' '사다리' '발목(골절)' 'B3F 계단' '강당동 계단실 옥탑슬라브'
 '107동 3층 슬라브' '엘리베이터 피트안' '옆' '저수지(수중)' '2층 계단실' '승강기' '현장사무실' '알수없음'
 '가로로 낮게 설치된 철재 기둥' '공사현장 내(지면)' '계단' '손가락' '허리통증' '외상없음' '도로 위'
 '오른쪽 발목뼈 실금' '안전가설' '시스템 비계' '코로나19 확진' '수중, 안벽 바닥부' '미장' '외벽판넬작업'
 '본인 봉고차 화물적재칸' '계단실 3층 계단참' '3-4층사이' '관연결부' '옥상 실외기 설치' '호이스트 지붕'
 '기초 콘크리트 상부' '맨홀외부 천공작업' '이동로' '지상부' '3층 바닥' '뒤' '인접대지  구거' '선박' '외부마감'
 '등 중부 흉추' '유리면 시트지제거작업' '도로포장면 위' '지상1층에서 지하로 떨어짐' 'EV 앞 복도' '세륜시설' '식당'
 '창고' '얼굴(눈주위)' '수중 ttp 모서리' '도로확장공사구간' '102동 지상 리프트  출입구' '합성버팀보 상단'
 '현장내 가배수로' '잭서포트 전도' '컨테이너 내부' '기인물/지상1층 녹지' '방파제 앞 해상' '숙박동 1층'
 '호이스트 출입문' '비상구문닫힘' '기존도로 법면' '해상파이프렉 2단부' '운반 자재사이에 손가락 끼임' '안전대 안전고리'
 '교통안전시설물' '운반용 리프트' '시설외부바닥' '차량 위' '내부 체력단련실' '107동 옥상' '외부비계' '현장외부'
 '공원 내 잔디식재 구간' '1층~현관필로티 중간' '정화조 관리층' '주차장' '작업구 밖' '건설용리프트 내부'
 '인접필지 부분 판넬 위에서 아래지점' '화장실' '2층 내부' '야적장' 'HDPE Purification Area'
 '보차도경계석' '탈수' '기타' '형틀공 자재창고' '지하층 골조공사' '교량 하부'
 '현장내 작업 중 통증 발생으로 요양급여 신청' '7층 내부' '맨홀뚜껑' '골조공사용 형틀자재(합판)' '측면' '철근부속물'
 '1층 외벽' '외부 Dry Area' '공사장과 떨어진 외부공간' '물 웅덩이' '인적사고' '교량 날개벽(방호벽) 철근'
 '5층 계단실' '사다리 위' '야외체육시설' '프리필터 내부' '건물 외부' '인근 주변부' '단지내 평지' '현장 외부'
 '컨테이너화장실 계단' '5층' '재해장소 불분명' '가설비계' '기존관 절단부위' '경계석 모서리' '현장출입문'
 '현장사무실 앞' '없음' '가시설 6m 높이' '집수정외부' '1층 바닥 보 거푸집 조립 진행(당일작업 완료)' '지하6층'
 '기초사석 상부' '지상2층' '202동 후면 외부 통행로' 'LDPE 구간' '엘리베이터' '얼굴, 팔' '승강로'
 '야적장 바닥' '옹벽위' '윈치' '모노레일 대차' '수로에 빠짐' '하부맨홀' '교량 내부' '철근벽체' '덕트'
 '전석 천단 위' '세대내부' '무릎' '조경석' '2층 계단참에서 1층바닥으로 떨어짐' '양안(결막염,이물질)' '출입구'
 '퇴근 중 도로상' '암롤박스 내부' '지상1층' '지하주차장' '1.8m 높이 틀비계' '산 경사구간' '경사로 도로'
 '기인물/상부(35층 세대 내)' '오수맨홀' '현장식당 부근' '1층 슬라브 철근조립 작업장' '지하주차장 램프 입구'
 '휴게실 바닥' '해당없음' '오른쪽 근육, 힘줄' '작업전 교육' '현장사무실 앞 휴게공간' '공원 내 계단'
 '공사지역 외(협력업체 사무소 인근)' '발목' '가설 이동구간' '작업대' '확인불가' '가설계단' '옥상' '1층 창문'
 '공구실 내부' '안전발판' '발판(높이 0.9M)' '내부' '톤백마대 위' '우측약지손톱' '크레인 조종석' '공사장 도로'
 '분류불능' '야외' '아시바' '사다리하부' '2층 계단' '손목관절,힘줄' '좌측 발목' '지하2층' '현장옆 공터'
 '휴식장소' '2층 실내' '왼쪽팔' '믹서플랜트' '외부 지상(바닥)' '현장 내' '석재를 들어올리다가 손에 통증을 느낌'
 '페이로더에서 떨어짐' '벽체' '굴착부(깊이 약2m)' '작업장 중간지점' '교각부 S3 G12거더' '1층 외부 비계'
 '작업장 바닥' '거푸집' '발목 접잘람' '물탱크실' '단지내 멘홀' '출퇴근도로' '개거' '5층 복도'
 '타워크레인 설치장소 주변' '4층' '차량/앞' '식당입구' '도르래 및 와이어로프 설치 위치' '사면' '안전교육 장소'
 '바지선 선미' '공조기 상부' '흉골(가슴)' '주차장 집수정' '현장(이동식 크레인)' '외부 벽면' '비트(곡주)'
 '교대보호공 사면부' '덤프트럭' '부지인근 구거' '차량 내부' '적출장 상치 및 동측호안' '부지' '적출장 및 동측호안'
 '사석경사제 및 제체유실' '건물주변 포장 자재운반중' '뇌경색' '세면대 앞' '현장주변' '심근경색' '블루폼' '문주 비계'
 '지하1층' '문 하부 모서리' '열사병' '심정지' '4번게이트 앞' '가도(파형강관)' '어린이집 하부 PIT층'
 '엘리베이터 피트 구덩이' '자재인양구' '덤프트럭 적재함 상부' '라이닝거푸집' '1충 내부' '건축공사장 내' '수조내부'
 '도로 위 이동 중' '갈비뼈' '눈' '건설현장 외부' '허리' '바닥면' '급성심근경색' '배전반' '관로 내부' '인근 식당'
 '경계석 인근 맨홀 주변' nan '다리' '가설도로' '식도염' '철탑' '정수기(온수)' '특정할수 없음' '세대 내'
 '구조물 외벽' '가설 계단 위' '단위 세대 내' '주택 내부' '기계식주차장위' '도로' '질병성' '어깨' '인부'
 '엘리베이터실' '화단' '현장 입구' '.' '콘크리트 포장면 위' '엘리베이터실 내부' '지상1층 상가' '벽체조립'
 '101동 1703호' '지상작업' '지붕 방수작업 부위' '2층에서 바닥으로 전도' '적재된 상수관로 위' '교량거더 내부'
 '오른쪽 무릎' '지붕공사' '천정 전등작업' '통신공사' '해상 선상위' '공동구 기초부' '창틀'
 '건물 내부에서 어지럼증으로 쓰러짐' '손목' '교육장' '현장과 무관' '외부 계단' '1층계단' '출입문 개폐' '현장내']"
24,기타 가시설,"['지하차도 상부 근로자 휴게실' '상부(위)' '지하' '바닥' '옆' '하부(아래)' '후문 홑강판' '고소' '지상' '뒤'
 '비계사다리' '도로 포장면 덮기용 철판' '사다리' '작업자의 손가락' '3층 벽체' '앞' '벽체' '사다리 위' '중앙'
 '주변' '작업발판(말비계)에서 작업중' '지상작업' '기타' '출입문 게이트' '가설휀스' '공사장 외부 방음벽'
 '호이스트 내부' '수직재' '호이스트 과상승방지장치 낙하' '주형보 받침' '지하5층 피트 사다리' '왼쪽 눈' '유리' nan
 '건설용 리프트 내부' '가설사무실' '가설울타리 보수']"
25,낙하물방지망,['바닥' '코너부위' '상부(위)' '고소' '하부(아래)' '옆' '인접주변' '엘리베이터 피트' nan '방지망 파이프']
26,노상안정기,[nan]
27,담장,['상부(위)' '뒤' '앞' nan '바닥']
28,덕트,['계단' '하부(아래)' '고소' '상부(위)' '바닥' '자재 이동' 'PD칸막이 단면부' '지하']
29,덤프트럭,"['덤프트럭 전도' '상부(위)' '운전자' '적재함 하부' '덤프 추락(운전자)' '하부(아래)' '옆' '뒤'
 '공사장 출입 게이트' '바닥' '적재함 파손' '운전석' '운전자석' '전복' '운전석과 적재함 사이'
 '덤프트럭 전도에 따른 협착' '앞' '고소' '덤프 내부' '지상에 전도' '계단' '단지 내 성토작업'
 '후면(1번차량), 전면(2번차량)' '덤프트럭 운전석' '적재함 추락' '전체' nan '뒷바퀴']"
30,데크플레이트,['하역' '공사중지로인한자재정리' '상부(위)' '지하' '고소' '바닥' '옥상바닥' '배관 위 높이 1m' '옆' nan]
31,돌담,['자연석' nan]
32,띠장,['고소' '바닥' '지하' '상부(위)' '앞' '옆' '하부(아래)' nan '벽체가시설H-BEAM철거']
33,레일,['앞' '상부(위)' '손가락' '바닥' '하부(아래)' '옆']
34,로더,['상부(위)' '바닥' '앞' nan]
35,롤러,['앞' '약지손가락 골절' '뒤' '옆' '손잡이' '상부(위)' '하부(아래)' '바닥' '전도(사진참조)' nan]
36,모터그레이더,['상부(위)' '바닥' nan]
37,몰탈혼합기,['뒤' '안면' '하부(아래)' '바닥' nan]
38,방음벽,['상부(위)' '뒤' '바닥' nan]
39,방호선반,['바닥']
40,배관,"['바닥' '상부(위)' '하부(아래)' '지하' '고소' '옆' '운반작업' '정리중 엄지손가락 찍힘' '압송관'
 '바닥에 설치된 배관' nan '개구부']"
41,버팀대,"['앞' '고소' '상부(위)' '지하' '지장물 매달기 작업에 필요한 H-BEAM' '바닥' '뒤' '옆' '하부(아래)' nan
 '가시설 버팀대 작업']"
42,버팀보,['바닥' '지하' '고소' '상부(위)' '지하층' '옆' '하부(아래)' nan]
43,벽돌,['하부(아래)' '바닥' '앞' '상부(위)' nan]
44,벽이음,['하부(아래)' '옆']
45,벽체,['상부(위)' '옆' '바닥' '지하' '앞' '1층 슬라브' '고소' nan '하부(아래)']
46,보강토 옹벽,['자재 운송중 손가락 끼임' '옆' '바닥' nan]
47,복공판,['복공판 자재 위' '고소' '바닥' '지하' '상부(위)' nan '장비 몸체']
48,볼트,"['왼발 발등' '상부(위)' '바닥' '콤프레샤' '볼트' '고소' '주택 내부와 실외기 설치공간 사이에 위치된 보호난간' '앞'
 '설치완료된 전기용 앵커볼트']"
49,부석,"['상부(위)' '지하' '토류벽 설치전 굴취작업' '바닥' '하부(아래)' '부선 피복석 적재 상부' '법면' '전석' '옆'
 '앞']"
50,불도저,['뒤' '고소' '삽날' '손잡이' nan]
51,브라켓,['옆' '상부(위)' '하부(아래)' '지하' '바닥']
52,비계,"['실내 벽면작업' '바닥' '상부(위)' '고소' '하부(아래)' '건축물과 비계 사이 공간' '지하' '옆' '가설난간대 브라켓'
 '앞' '9층바닥에서 1층으로 추락' '방화문 작업발판 비계' '설치 작업 중' '2층 동바리 수평연결재 보강 중'
 '4구간 7층 벽체' '알수없음' '8층에서 6층으로 낙하(전동드릴)' '지상부(1층)' '시스템비계사다리' '콘크리트 바닥'
 '지상' '기타' '사다리' '뒤' '발목 골절' '남측 가설비계' '가로 강관' '비계 이동' '풀' '접합부'
 '103동 5층 계단참' '비계뭉치 해체' '지상1층 바닥' '전체' '지하 경사로' '승강발판' '말비계에서 내려오던중'
 '말비계 상부' '작업이탈 중' '옥외비계 계단' '호안사면' '외부' '이동식비계 하부' '기둥' '비계상부' '넘어짐'
 '비계 안전난간 위' '계단' '비계 이동통로 설치구간' '비계 상부에서 하부로 운반' '세대 내' '말비계 위' '엘레베이터실'
 '지면' '상단' '비계 추락' '시스템 비계' '계단 이동' nan 'B/T 비계 상부' '분류불능' '비계난간대 아래'
 '바닥에 적재된 비계 자재에 걸려 넘어짐' '현장 출입구 진입중 비계용 파이프를 밟아 미끄러짐' '주차램프']"
53,비산물,"['2층' '옆' '바닥' '상부(위)' '등쪽(상부)' '작업자의 팔' '고소' '인근 모래, 흙 등의 이물질로 추정' '나무목재'
 '앞' '하부(아래)' '콘크리트 혼합물' '콘크리트 조각' nan]"
54,사다리,"['옥상' '상부(위)' '고소' '바닥' '하부(아래)' '지하' '승강 중' '지반상부 1m높이' '옆' '외부'
 '측면 점검사다리' '중간부' '기타' '물탱크 상부' '말비계 위(1m)' '비상용승강기' '바닥 사다리' '아웃리거 발판'
 'A형 가설사다리' '우마 위' '지하1층 작업중 사다리에서 낙상 사고' '사다리 고정장치 이탈' '중간'
 '거푸집지지 각재(투바이)' 'BT비계' '엘리베이터PT' nan '말비계' '계단실' '사다리' '사다리 마지막 답단']"
55,석축,['상부(위)' '하부(아래)' '지하' '엄지발가락' '바닥' nan '앞']
56,선라이트,['옆' '상부(위)']
57,성토사면,['고소' '상부(위)' '바닥']
58,수평연결재,['하부(아래)' '상부(위)' '지하']
59,슬래브,"['상부(위)' '바닥' '고소' '하부(아래)' '와이어 둘러 감은 상태' '지하' '우측갈비뼈' '교량거더' 'PC 슬라브 홀'
 nan '기타시설(건축물아님)']"
60,슬레이트,['1층 외부']
61,시스템동바리,"['지하' '바닥' '상부(위)' '시스템동바리' '고소' '하부(아래)' '수평재' '옆' '작업발판' '앞' '상부로 이동 중'
 '작업발판 얼어서 미끄러짐' '동바리 이동중' '이동식틀비계 이동중' '수직승강로' nan '하부']"
62,아스팔트살포기,['옆' '상부(위)']
63,안전시설물,"['지하' '고소' '하부(아래)' '바닥' '자재와 함께 추락' '상부(위)' '안전계단 발판'
 'PKG-3 Compressor Shelter' '옆' '현관입구' '자재양중구 옆 기둥' '안전난간대' '추락' '외부'
 '강제거푸집' '사다리' '앞' nan]"
64,안전핀,['옆' '바닥' '고소']
65,암사면,['하부(아래)' '고소' '지하' '상부(위)' nan]
66,어스오거,['옆' '날개' '오거 하역중' '상부(위)' '바닥' '현장내 C 구역' nan]
67,엄지말뚝,['바닥' '옆' 'H빔과 상차차량 사이' '상부(위)' nan]
68,옹벽,"['상부(위)' '지하' '철근조립부' '바닥' '하부(아래)' '옆' '게비온 옹벽 2단 위' '뒤' '기초옹벽형틀해체'
 '맨홀 주변' '고소' '앞' nan]"
69,와이어로프,['하부(아래)' '바닥' '수중' '샤클에 오른쪽 팔뚝 부딪힘' '상부(위)' '옆' '인양고리' '고소' nan]
70,위험물저장탱크,['고소' '바닥']
71,유증기,['바닥' '맨홀']
72,자재,"['고소' '바닥' '옆' '방화문틀' '지하' '상부(위)' '하부(아래)' '자재사이에 손가락끼임' '앞'
 '자재 인양중 지상에서 발생' '흄관' '자재 끈' '거푸집' '지상아파트 동출입구' '말통' '갱폼난간대'
 '자재(서까래)적치장소' '기둥벽체' '발판에 미끄러져 떨어지면서 파이프에 부딪힘' 'PVC관' '왼손 손가락 4,5번'
 '1층 화장실 독립기초' '옥상' '벽면 미장' '자재' '못에 맞음' '지상' '벽돌이 무너짐' '인양중'
 '카고크레인 적재함/상부' '단위세대 거실' '지상2층' '조적턱 거푸집' '뒤' '말비계 위' '왼쪽 복숭아뼈 부딪힘'
 '거푸집 각재' '유로폼 인양' '맨홀내부' '차량적재함' '지하주차장' '주출입구' '허리' '유로폼' '지상5층 바닥'
 '화물트럭 위' '내부벽체' '지면위 합판' '3층 외곽부' '아연도각관' '1.5m에서 뛰어내리면서 사고 발생' '2층 외벽'
 '1층 내부' '계단' '맨홀 주변' '건축물 좌측면 왼쪽 지상' '차량 위' '후면동' '기존매설물(그레이팅)'
 '잔재물 이동 처리중' '싱크대 하부' '시멘트 하차' '합판' '오른쪽 무릎' 'H-Beam' '화장실 칸막이'
 '지상 자재정리 장소' '외벽' '자재 하역작업' '거푸집 지지대 들다가 떨어뜨림' '유공팔판 위' '재해자 얼굴(미간)'
 '중간층 작업 발판' '유로폼 적재 작업' '합판거푸집' '수도관' '지하2층' '수신호간 부상' '1동 전면' '유로폼 거푸집'
 '각관(50*50*2.3t)' '106동14층' '손가락' '유리섬유샌드위치판넬(7000*1000*225T)' '자재 차량'
 '기초위' '관로굴착 바닥면' '야적된 h-beam에 와이어 체결중, 불안정한 h-beam이 미끄러져 우측 손가락압괴를 입음'
 '테이블리프트 상부' '판넬' '전기분전함' '활성탄여과기' '5톤트럭 짐칸상부' '운반 차량 위' '날개벽 거푸집'
 '옥상층 E/V PIT' '상수관' '도로' '작업발판' '맨홀인양작업시 자재파편 낙하로 인한 부상' 'PC 박스 내부 자재 운반'
 '2층계단실' '약 1m 높이' '자재 하역' '1톤 화물차 내' '자재 야적장' '교량상부' '창문틀' '운반중' '3층'
 '차량 적재함' '상승각재' '벽체구간' '거푸집 정리중 우측 소지 끼임' '계단주변' '80mm 파이프' '목자재를 자름'
 '건설용리프트 앞' '조적' '직접 연관 없음' '지상5층' '보차도경계석' '자재 이동중' '세대내부 벽면에 적재'
 '3층 창호 주변' '저류지 인근 수변보강토' '관으로 머리 부딪힘' nan '상수도관' '도시가스배관' '발목' '지붕 형틀'
 '약지손가락' '분류불능' '개구부 단열재' '건축물 전면 부' '바닥(SK판넬 내부)' '건물내부' '기타' '가드레일 표준레일'
 '외부']"
73,작업대차,['바닥' '작업대차내' '옆' '하부(아래)' '모노레일 운전석' '아우트리거 부분' '지하' '상부(위)' nan]
74,작업발판,"['고소' '지하1층 지하주차장 2.4m 높이의 합벽지지대 작업발판' '바닥' '상부(위)' '하부(아래)' '작업발판 덮개와 협착'
 '실족' '지하' '작업 중 발판에서 뛰어내림' '시스템비계,작업대간 연결발판' '작업발판사이' '뒤' '옆' '작업발판 승강계단'
 '가설비계 위' '주행중인 차량이 가해자 충돌' '가시설.갱폼' '오른손 약지' '앞' '계단실' '난간' '작업발판 위'
 '90cm 높이' '1층바닥에서 1.2m' '무대 상부 발판' '작업발판 설치 및 운반 중' '사다리 상부'
 '벽체 상부철거(강관틀비계)' '가설계단' nan]"
75,잭서포트,['지하' '하부(아래)' '옆' '상부(위)']
76,전도방지재,['바닥' '상부(위)' '하부(아래)']
77,"전주, 전선","['바닥' '뒤' '지하' '고소' '하부(아래)' '계측기 교체 중' 'TPS실' '옆' '지상4층 천장 입선' '상부(위)'
 '인접 변압기' nan '앞']"
78,절토사면,['지하' '하부(아래)' '바닥' '고소' '상부(위)' '108동 주변 토사법면 하단' nan '앞']
79,조적벽체,['상부(위)' '바닥' nan '앞' '고소']
80,준설선,['뒤' '바닥' nan '승조원 대기실 및 기관실 사이']
81,지게차,"['전도되어 깔림사고' '바닥' '뒷바퀴' '앞' '옆' '상부(위)' '뒤' '협력사 컨테이너 사무실 앞' '지게차 포크' '전복'
 '귀' '기타' '하부(아래)' '차체 뒷부분' '발판' nan]"
82,지반,"['바닥' '항타기 간 이동 경로 내' '하부(아래)' '토파기 지방 붕괴' '지하' '도로 위' '벽체' '옆' '연암코어 작업'
 '상부(위)' '머리를 강타당함(안전모착용)']"
83,지주가설재,['옆 초등학교 인접 경계펜스' '바닥' '상부(위)' '고소' '옆' '정문상부철재']
84,지지대,"['하부(아래)' '고소' '바닥' '옆' '뒤' '기둥 거푸집 지지대 밴드' '바이오파일럿동 신축공사 현장 內 가설도로' '지하'
 '상부(위)' '구멍' nan]"
85,지하매설물,['바닥' '지하' '상부(위)' '흄관(D900) 상부' '하부(아래)' '관 내부' '지하층 처리조' '옆' nan]
86,지하벽체,"['지하주차장 1,2층 수직공동구' '바닥' '지하' '상부(위)' nan]"
